Model,Horizon,Timeframe,Return_MAE,Return_R2,Directional_Accuracy,Price_MAE,Price_MAPE,Train_Time
XGBoost,1d,Daily,0.013725626859357937,-0.016548193758461727,48.75,1586.2065418556344,1.382346897461446,0.16785311698913574
Random Forest,1d,Daily,0.01688636507240712,-0.33361422731416046,51.24999999999999,1940.9946875897945,1.6850707856684168,0.3451383113861084
Gradient Boosting,1d,Daily,0.021653607957857778,-1.1338259062870661,51.24999999999999,2491.0643111103573,2.1552719622903487,0.36934804916381836
CatBoost,1d,Daily,0.013574794960672565,-0.014484876583224615,51.24999999999999,1568.4770650411458,1.3664395509575469,0.14458870887756348
LightGBM,1d,Daily,0.013695621575421452,-0.013706651573386797,48.75,1582.6794051449203,1.3791747347994414,0.045794010162353516
XGBoost,3d,Daily,0.025045035470752753,-0.051650521786208436,48.75,2904.8251352233574,2.5393749191828454,0.0358579158782959
Random Forest,3d,Daily,0.03145672815251621,-0.5731381606527313,51.24999999999999,3608.0383141315165,3.1147586412073123,0.28853583335876465
Gradient Boosting,3d,Daily,0.03147911080307207,-0.6050205064581997,52.5,3618.5315535827162,3.1278639136967357,0.285660982131958
CatBoost,3d,Daily,0.025107159336597608,-0.032810434682888356,48.75,2907.7102895350968,2.541276164865446,0.05024218559265137
LightGBM,3d,Daily,0.025116101308938276,-0.04467388330820876,48.75,2911.5090417215456,2.543820010646412,0.014716863632202148
XGBoost,7d,Daily,0.041064561607077124,-0.08397640345212931,46.835443037974684,4784.30754898696,4.173367686481464,0.04213094711303711
Random Forest,7d,Daily,0.050953536977380476,-0.7243543418424008,53.16455696202531,5808.813309190949,4.9619761341919775,0.2754337787628174
Gradient Boosting,7d,Daily,0.04926591504981847,-0.6256818100766934,53.16455696202531,5622.645207870669,4.808570049098796,0.2763640880584717
CatBoost,7d,Daily,0.040924633137288044,-0.0772368108526027,46.835443037974684,4766.785816015157,4.157130077894763,0.03616595268249512
LightGBM,7d,Daily,0.040874430109452145,-0.07207118063292395,46.835443037974684,4758.186080363962,4.1465489803189195,0.014497756958007812
Random Forest,1h,Hourly,0.00255940114512058,-0.07560014820990646,49.49337490257209,292.7765823637201,0.2558545783708737,1.4053640365600586
Random Forest,4h,Hourly,0.005572259691198766,-0.16149486783929623,50.9742790335152,638.0947016140084,0.5568720801658692,1.4959940910339355
Random Forest,12h,Hourly,0.010317458872801704,-0.21809847593078246,49.921996879875195,1183.7251518188145,1.0316945755538174,1.3091988563537598
